Add|| Speed0.1036309; Full 0.04108051; smell14.99558
Add|| Speed0.08447797; Full 0.08285278; smell10.99905
Add|| Speed0.290086; Full 0.140878; smell17.60071
Add|| Speed0.1037632; Full 0.1631002; smell8.672079
Add|| Speed0.1167892; Full 0.81437; smell3.113534
Add|| Speed0.1552663; Full 0.479858; smell6.142477
Add|| Speed0.0946435; Full 0.8335854; smell6.173771
Add|| Speed0.06811246; Full 0.9748566; smell3.549525
Add|| Speed0.09913297; Full 0.3311528; smell6.282334
Remove|| Speed0.101613; Full 0.2559031; smell3.290327
Remove|| Speed0.1940669; Full 0.2311802; smell1.877375
Add|| Speed0.1526725; Full 0.6480498; smell2.39197
Add|| Speed0.1138018; Full 0.3273823; smell7.25387
Add|| Speed0.03427158; Full 0.0557861; smell19.94057
Add|| Speed0.04193875; Full 0.03564579; smell13.50882
Add|| Speed0.08697282; Full 0.9321522; smell10.11717
Add|| Speed0.05572076; Full 0.4286969; smell4.566931
Add|| Speed0.1358666; Full 0.378054; smell11.16248
Add|| Speed0.1532035; Full 0.5311787; smell4.599264
Remove|| Speed0.1960772; Full 0.3238361; smell4.641455
Add|| Speed0.1139773; Full 0.2847795; smell9.063002
Add|| Speed0.1628879; Full 0.315134; smell6.29522
Add|| Speed0.04108474; Full 0.6376953; smell4.94543
Add|| Speed0.2132668; Full 0.3476014; smell14.70916
Add|| Speed0.3552809; Full 0.5364873; smell2.539132
Add|| Speed0.08868541; Full 0.7801834; smell3.722349
Add|| Speed0.06671523; Full 0.4564884; smell3.361668
Add|| Speed0.1766365; Full 0.5225011; smell3.557749
Remove|| Speed0.09409986; Full 0.1044114; smell8.008505
Remove|| Speed0.08832704; Full 0.1131692; smell5.867297
Remove|| Speed0.09529354; Full 0.06672418; smell5.418938
Remove|| Speed0.04258171; Full 0.1002003; smell8.226603
Remove|| Speed0.1742354; Full 0.06070205; smell3.461551
Remove|| Speed0.08350701; Full 0.07604039; smell7.331599
Remove|| Speed0.1057167; Full 0.07303987; smell8.744229
Remove|| Speed0.1631871; Full 0.1107986; smell6.237824
Remove|| Speed0.1226098; Full 0.07069852; smell6.299829
Remove|| Speed0.302198; Full 0.08711877; smell4.442457
Remove|| Speed0.08846307; Full 0.1087438; smell6.512541
Add|| Speed0.1694601; Full 0.07041563; smell6.675578
Remove|| Speed0.04483995; Full 0.1562682; smell7.448492
Remove|| Speed0.02863419; Full 0.08540944; smell6.055236
Remove|| Speed0.105715; Full 0.07391676; smell2.721351
Remove|| Speed0.03960577; Full 0.07986126; smell8.322977
Remove|| Speed0.2774766; Full 0.08625454; smell4.571571
Remove|| Speed0.08737334; Full 0.06422622; smell8.296816
Remove|| Speed0.1635711; Full 0.1429058; smell9.160643
Add|| Speed0.2227476; Full 0.3457163; smell3.982624
Add|| Speed0.1921746; Full 0.8412721; smell2.493345
Add|| Speed0.1608301; Full 0.09638892; smell13.09536
Add|| Speed0.1819929; Full 0.2711694; smell2.486467
Add|| Speed0.07339559; Full 0.9838499; smell3.800392
Add|| Speed0.1184992; Full 0.5545308; smell2.385154
Add|| Speed0.1366191; Full 0.1021726; smell9.356879
Add|| Speed0.3278409; Full 0.6997563; smell3.758523
Add|| Speed0.3308925; Full 1.213124; smell5.132692
Add|| Speed0.3606676; Full 0.8251377; smell1.223188
Add|| Speed0.1605034; Full 0.05391352; smell13.391
Add|| Speed0.1088779; Full 0.03848203; smell6.303376
Add|| Speed0.08110929; Full 0.09297169; smell9.230913
Add|| Speed0.1670367; Full 0.4029946; smell1.885574
Add|| Speed0.1088895; Full 0.133476; smell12.38522
Add|| Speed0.1373971; Full 0.8488732; smell1.471806
Remove|| Speed0.09086406; Full 0.2138612; smell2.833789
Remove|| Speed0.1284364; Full 0.2686073; smell1.986778
Remove|| Speed0.06838715; Full 0.1688712; smell1.604283
Add|| Speed0.288562; Full 0.07741649; smell12.33282
Add|| Speed0.1499486; Full 0.05034141; smell4.515926
Add|| Speed0.1315787; Full 0.08815052; smell13.69999
Add|| Speed0.09227788; Full 0.05754858; smell13.00337
