Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
333,9110,9285,175,15,0.06829097,7.585564,2.589386,0.1811853
334,9112,9135,23,24,0.1530974,20.17106,0.7932912,0.6176088
335,9113,9294,181,14,0.03308553,11.95724,1.94461,0.1187664
336,9113,9148,35,13,0.1236889,2.870224,1.327429,0.09132472
337,9114,9235,121,11,0.06502004,2.761482,1.639504,0.2359555
338,9115,9340,225,11,0.02613067,1.251438,3.074604,0.07680769
339,9118,9297,179,16,0.1008716,2.450128,2.309815,0.2177805
340,9119,9127,8,25,0.1703168,12.58279,1.112518,0.3389569
341,9119,9143,24,14,0.0920334,2.01722,1.131185,0.1167531
342,9120,9191,71,16,0.04106237,7.109951,1.262391,0.1751543
343,9121,9323,202,13,0.1174044,7.099309,2.344527,0.06100088
344,9122,9152,30,17,0.08363043,3.795418,1.080929,0.1793301
345,9123,9152,29,25,0.07243709,8.022566,2.389699,0.4324716
346,9127,9142,15,25,0.1394369,10.96967,0.9235291,0.5837351
347,9127,9138,11,15,0.1396962,1.266527,1.645163,0.06637918
348,9130,9163,33,18,0.06306126,3.295508,1.090899,0.1186234
349,9133,9149,16,26,0.1148786,15.80654,0.9346917,0.577211
350,9133,9161,28,19,0.06746621,4.619463,0.6925809,0.1211321
351,9134,9158,24,17,0.09500431,10.26849,2.616544,0.09315766
352,9134,9167,33,20,0.09414738,4.951436,0.6917511,0.06198826
353,9135,9205,70,19,0.008497288,2.709705,0.3633382,0.3388248
354,9136,9154,18,27,0.1501939,18.29163,0.7574102,0.8240578
355,9136,9175,39,20,0.007685166,1.948532,0.2708314,0.2843194
356,9137,9184,47,21,0.00612666,2.36732,0.1630471,0.1795536
357,9140,9347,207,11,0.08209968,3.801579,2.664088,0.1154561
358,9140,9228,88,12,0.04357605,3.415923,1.978921,0.148986
359,9141,9176,35,12,0.115064,2.115517,1.687042,0.07992691
360,9142,9379,237,15,0.02822396,10.18961,1.626117,0.09928462
361,9142,9221,79,17,0.09321803,7.470721,2.499195,0.1665802
362,9142,9178,36,20,0.08340332,4.663136,0.7731379,0.1159568
363,9145,9200,55,16,0.11916,1.70311,2.188262,0.2194562
364,9145,9161,16,21,0.1179416,5.731543,0.8783081,0.08240053
365,9147,9318,171,25,0.06032237,12.31777,1.875636,0.58893
366,9147,9153,6,28,0.1940902,27.34322,0.4328118,0.4710495
367,9148,9327,179,16,0.1039441,4.860133,1.759966,0.6939448
368,9150,9201,51,22,0.06214188,5.683811,0.6735765,0.1171722
369,9151,9207,56,17,0.07644942,7.268117,1.305035,0.5674503
370,9152,9180,28,17,0.1523422,1.380659,2.441821,0.3234043
371,9152,9210,58,21,0.02887952,6.105075,1.152986,0.1703517
372,9153,9217,64,17,0.02412225,7.053905,0.9380233,0.2013585
373,9155,9179,24,21,0.07354918,4.749013,0.7834494,0.05194807
374,9155,9397,242,18,0.02443355,7.214069,1.445745,0.5060349
375,9156,9210,54,10,0.03742065,1.463634,1.410587,0.08731374
376,9156,9220,64,22,0.02452601,6.894362,0.821713,0.1134107
377,9157,9201,44,16,0.0974614,18.46382,1.917968,0.1190757
378,9157,9331,174,13,0.05474101,1.838607,3.01991,0.08622782
379,9160,9309,149,13,0.05031822,1.066247,3.542223,0.1830372
380,9160,9188,28,22,0.04913112,5.865033,1.057757,0.05420139
381,9162,9757,595,12,0.04792535,3.322458,3.450757,0.1336906
382,9162,9181,19,17,0.2386801,2.263768,2.443437,0.2821592
383,9162,9228,66,18,0.1790391,1.081236,2.707497,0.4443169
384,9163,9181,18,21,0.06846303,4.980765,0.8470686,0.09038085
